Id_Data,Id_Place,Basin,Sub_Basin,Stand_Code,Bank,Cod_Plg,LW_Presence,Dead_Wood,Sinuosity,Width_Mean,Lat_Connectivity,Gradient (%),SPI / Width,SPI,Lentgh (m),Standing_Dead_Trees,Regeneration,Basal_Area (m2/ha),P50_Height,Height_IQR,HardWood_Ab,SoftWood_Ab,Pioneers_Ab,Shrubs_Ab,Brambles_Ab,Invasive_Ab,MaxDiamClass,DiamComplex,StructuralIndex,Basin_Code,Bank_Code,is_headwater,d_Sinuosity,d_Gradient_pct,d_Width_Mean,d_SPI_Width,d_Basal_Area,d_P50_Height,d_Height_IQR,d_StructuralIndex,up_Standing_Dead_Trees,up_Dead_Wood,up_Regeneration,up_Lat_Connectivity,up_LW_Presence
20,10,Arve,Arve,A-A10,Right ,A-A10-Right,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,3,21,15.7,6.2,0,1,1,0,0,1,4,4,0.658585617,0,1,0,0.077,-0.02096672,23.2485,-0.814210222,6,0.8,-2.1,-0.188058936,1,2,1,3,1
21,11,Arve,Arve,A-A11,Left ,A-A11-Left,2,2,1.062,74.4,3,0.21,1.3,95.2,8076,3,2,21,14.5,8.2,0,1,2,0,0,0,3,3,0.762402376,0,0,0,-0.072,-0.143064867,12.27625,-1.101891757,2,-1.5,1.55,0.006917544,3,3,2,4,3
22,11,Arve,Arve,A-A11,Right ,A-A11-Right,2,1,1.062,74.4,3,0.21,1.3,95.2,8076,2,2,20,13.4,8.1,1,0,2,0,0,1,3,3,0.742597435,0,1,0,-0.072,-0.143064867,12.27625,-1.101891757,-1,-2.3,1.9,0.084011818,3,3,3,4,3
23,12,Arve,Arve,A-A12,Left ,A-A12-Left,3,4,1.169,87.9,4,0.16,0.9,75.0,7917,3,3,26,16.5,9.8,0,2,2,0,0,1,4,4,0.816799935,0,0,0,0.107,-0.046296635,13.43285,-0.425153116,5,2,1.6,0.054397559,3,2,2,3,1
24,12,Arve,Arve,A-A12,Right ,A-A12-Right,3,3,1.169,87.9,4,0.16,0.9,75.0,7917,4,4,26,13.8,9.4,1,4,1,0,0,1,2,2,0.821355158,0,1,0,0.107,-0.046296635,13.43285,-0.425153116,6,0.4,1.3,0.078757723,2,1,2,3,1
25,13,Arve,Arve,A-A13,Left ,A-A13-Left,2,3,1.281,47.7,4,0.21,2.0,97.4,6796,3,3,15,21.9,9.575,1,4,2,1,0,1,4,4,0.906453646,0,0,0,0.112,0.041799919,-40.13232727,1.186580728,-11,5.4,-0.225,0.089653711,3,4,3,4,4
26,13,Arve,Arve,A-A13,Right ,A-A13-Right,2,4,1.281,47.7,4,0.21,2.0,97.4,6796,4,4,16,22.3,7.3,1,3,2,1,0,2,4,4,0.906430893,0,1,0,0.112,0.041799919,-40.13232727,1.186580728,-10,8.5,-2.1,0.085075735,4,3,4,4,4
27,14,Arve,Arve,A-A14,Left ,A-A14-Left,3,3,1.513,59.8,4,0.35,2.9,174.2,4335,2,2,12,21.5,8.875,1,4,2,2,2,0,3,3,0.934957765,0,0,0,0.232,0.14001723,12.05556061,0.872944919,-3,-0.4,-0.7,0.028504119,3,3,3,4,2
28,14,Arve,Arve,A-A14,Right ,A-A14-Right,3,3,1.513,59.8,4,0.35,2.9,174.2,4335,2,3,14,20.3,7.85,0,4,2,2,2,1,3,3,0.895348875,0,1,0,0.232,0.14001723,12.05556061,0.872944919,-2,-2,0.55,-0.011082017,4,4,4,4,2
29,15,Arve,Arve,A-A15,Left ,A-A15-Left,3,2,1.404,80.5,4,0.26,1.7,133.4,6971,1,2,14,19.45,9.2,1,2,2,0,1,1,5,5,0.915461907,0,0,0,-0.109,-0.087808166,20.72789394,-1.256532914,2,-2.05,0.325,-0.019495858,2,4,2,4,3
